gauge_id,aquitard_perc,aquifer_perc,aquifer_aquitard_mixed_perc,kf_very_high_perc,kf_high_perc,kf_medium_perc,kf_moderate_perc,kf_low_perc,kf_very_low_perc,kf_extremely_low_perc,kf_very_high_to_high_perc,kf_medium_to_moderate_perc,kf_low_to_extremely_low_perc,kf_highly_variable_perc,kf_moderate_to_low_perc,cavity_fissure_perc,cavity_pores_perc,cavity_fissure_karst_perc,cavity_fissure_pores_perc,rocktype_sediment_perc,rocktype_metamorphite_perc,rocktype_magmatite_perc,consolidation_solid_rock_perc,consolidation_unconsolidated_rock_perc,geochemical_rocktype_silicate_perc,geochemical_rocktype_silicate_carbonatic_perc,geochemical_rocktype_carbonatic_perc,geochemical_rocktype_sulfatic_perc,geochemical_rocktype_silicate_organic_components_perc,geochemical_rocktype_anthropogenically_modified_through_filling_perc,geochemical_rocktype_sulfatic_halitic_perc,geochemical_rocktype_halitic_perc,waterbody_perc,no_data_perc
DE110150,63.6,9.99,26.41,0.0,0.1,1.95,5.62,25.39,16.02,4.48,0.0,2.31,17.71,0.0,26.41,64.5,10.62,24.88,0.0,76.55,16.02,7.43,89.38,10.62,41.79,33.12,21.21,3.88,0.0,0.0,0.0,0.0,0.0,0.0
DE110160,13.34,64.37,22.29,0.0,0.0,1.21,0.0,13.34,0.0,0.0,0.0,63.16,0.0,0.0,22.29,10.7,1.21,88.09,0.0,100.0,0.0,0.0,98.79,1.21,0.0,11.91,88.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110170,22.62,45.25,32.12,0.0,0.0,0.0,45.25,22.62,0.0,0.0,0.0,0.0,0.0,0.0,32.12,7.4,0.0,92.6,0.0,100.0,0.0,0.0,100.0,0.0,0.0,7.4,69.98,22.62,0.0,0.0,0.0,0.0,0.0,0.0
DE110180,24.94,34.1,40.96,0.0,0.0,0.0,34.1,24.94,0.0,0.0,0.0,0.0,0.0,0.0,40.96,13.08,0.0,86.92,0.0,100.0,0.0,0.0,100.0,0.0,2.68,10.41,64.66,22.26,0.0,0.0,0.0,0.0,0.0,0.0
DE110190,29.14,12.57,58.29,0.0,0.0,0.0,12.57,29.14,0.0,0.0,0.0,0.0,0.0,0.79,57.51,63.88,0.13,35.99,0.0,100.0,0.0,0.0,99.87,0.13,10.42,41.22,16.03,32.33,0.0,0.0,0.0,0.0,0.0,0.0
DE110200,13.6,31.61,54.79,0.0,0.0,0.0,31.61,13.56,0.04,0.0,0.0,0.0,0.0,0.24,54.54,52.31,0.14,47.55,0.0,100.0,0.0,0.0,99.86,0.14,4.09,41.55,38.42,15.94,0.0,0.0,0.0,0.0,0.0,0.0
DE110210,29.81,36.08,34.12,0.0,0.0,0.0,36.08,29.81,0.0,0.0,0.0,0.0,0.0,0.0,34.12,32.44,0.0,67.56,0.0,100.0,0.0,0.0,100.0,0.0,18.95,13.5,55.88,11.68,0.0,0.0,0.0,0.0,0.0,0.0
DE110220,5.76,24.49,69.75,0.0,24.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76,0.0,69.75,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,75.51,24.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110250,98.07,0.44,1.49,0.0,0.44,0.0,0.0,0.37,97.7,0.0,0.0,0.0,0.0,0.0,1.49,98.1,1.9,0.0,0.0,1.93,97.7,0.37,98.1,1.9,98.1,1.47,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110260,56.47,33.45,10.08,0.0,0.0,0.0,33.45,5.75,18.95,0.0,0.0,0.0,31.77,0.0,10.08,83.57,2.51,13.92,0.0,45.84,18.95,35.21,97.49,2.51,83.57,2.51,11.61,2.31,0.0,0.0,0.0,0.0,0.0,0.0
DE110270,75.81,1.71,22.48,0.0,0.23,1.48,0.0,2.54,17.14,0.0,0.0,0.0,56.13,0.0,22.48,75.34,24.66,0.0,0.0,28.66,13.81,57.53,75.34,24.66,71.34,27.29,0.23,0.0,1.14,0.0,0.0,0.0,0.0,0.0
DE110280,49.3,48.99,1.72,0.0,8.61,0.0,40.37,7.41,7.4,0.0,0.0,0.0,34.48,0.0,1.72,51.97,8.61,39.42,0.0,55.22,7.4,37.37,91.39,8.61,48.29,3.68,47.19,0.84,0.0,0.0,0.0,0.0,0.0,0.0
DE110290,86.84,5.13,8.03,0.0,2.89,0.0,2.24,19.26,63.19,0.0,0.0,0.0,4.39,0.0,8.03,87.37,3.77,2.16,6.71,28.08,63.19,8.73,96.23,3.77,74.95,20.0,4.8,0.26,0.0,0.0,0.0,0.0,0.0,0.0
DE110300,96.82,2.01,1.18,0.0,0.0,2.01,0.0,23.14,65.49,0.0,0.0,0.0,8.18,0.0,1.18,96.82,3.18,0.0,0.0,4.0,65.49,30.5,96.82,3.18,96.0,3.18,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0
DE110310,88.15,2.51,9.34,0.0,1.02,1.48,0.02,23.48,36.9,0.0,0.0,0.0,27.77,0.0,9.34,96.39,2.71,0.9,0.0,31.54,36.9,31.56,97.29,2.71,93.92,4.15,1.73,0.18,0.01,0.0,0.0,0.0,0.0,0.0
DE110320,88.06,0.0,11.94,0.0,0.0,0.0,0.0,27.36,51.17,0.0,0.0,0.0,9.53,0.0,11.94,99.96,0.04,0.0,0.0,38.69,51.17,10.14,99.96,0.04,97.08,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110330,98.31,0.0,1.69,0.0,0.0,0.0,0.0,10.03,5.64,0.0,0.0,0.0,82.64,0.0,1.69,100.0,0.0,0.0,0.0,4.73,5.64,89.63,100.0,0.0,98.93,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110340,97.02,0.0,2.98,0.0,0.0,0.0,0.0,18.8,3.5,0.0,0.0,0.0,74.72,0.0,2.98,100.0,0.0,0.0,0.0,13.34,3.5,83.16,100.0,0.0,99.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110350,59.46,14.41,26.13,0.0,0.19,0.05,14.17,50.84,0.0,5.96,0.0,0.0,2.66,0.0,26.13,57.7,3.33,38.96,0.0,100.0,0.0,0.0,96.67,3.33,23.95,35.34,26.45,14.26,0.0,0.0,0.0,0.0,0.0,0.0
DE110360,57.39,15.92,26.69,0.0,0.12,0.36,15.42,47.01,0.0,5.77,0.0,0.02,4.61,0.0,26.69,59.11,2.92,37.97,0.0,100.0,0.0,0.0,97.08,2.92,16.79,43.37,24.2,15.64,0.0,0.0,0.0,0.0,0.0,0.0
DE110370,47.57,23.45,28.98,0.0,0.08,0.85,22.51,41.12,0.0,3.59,0.0,0.01,2.86,0.0,28.98,50.86,2.52,46.62,0.0,100.0,0.0,0.0,97.48,2.52,17.82,34.18,32.91,15.08,0.0,0.0,0.0,0.0,0.0,0.0
DE110380,73.57,0.08,26.35,0.0,0.08,0.0,0.0,73.57,0.0,0.0,0.0,0.0,0.0,0.0,26.35,99.66,0.08,0.26,0.0,100.0,0.0,0.0,99.92,0.08,99.66,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110390,32.57,16.59,50.84,0.0,0.0,0.73,15.86,32.57,0.0,0.0,0.0,0.0,0.0,0.0,50.84,52.62,0.73,46.64,0.0,100.0,0.0,0.0,99.27,0.73,2.1,49.47,15.86,32.57,0.0,0.0,0.0,0.0,0.0,0.0
DE110400,50.59,19.08,30.33,0.0,0.04,3.49,14.53,39.34,0.0,4.94,0.0,1.01,6.31,0.0,30.33,60.14,4.37,35.48,0.0,100.0,0.0,0.0,95.63,4.37,12.98,48.81,23.24,14.97,0.0,0.0,0.0,0.0,0.0,0.0
DE110410,29.6,62.52,7.88,0.0,0.0,5.22,11.3,12.69,0.04,3.81,0.0,46.0,13.05,0.0,7.88,23.97,6.71,69.32,0.0,97.76,0.0,2.24,93.29,6.71,2.24,27.0,70.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110420,65.18,5.49,29.33,0.0,0.0,2.32,0.0,52.69,0.0,8.25,0.19,2.98,4.25,0.0,29.33,79.35,2.52,18.14,0.0,100.0,0.0,0.0,97.48,2.52,25.93,44.78,6.56,22.72,0.0,0.0,0.0,0.0,0.0,0.0
DE110430,55.57,5.13,39.3,0.0,0.0,0.0,5.13,55.57,0.0,0.0,0.0,0.0,0.0,0.0,39.3,57.51,0.11,42.38,0.0,100.0,0.0,0.0,99.89,0.11,31.02,11.02,5.13,52.82,0.0,0.0,0.0,0.0,0.0,0.0
DE110440,47.95,0.02,52.03,0.0,0.0,0.0,0.02,47.95,0.0,0.0,0.0,0.0,0.0,0.0,52.03,80.37,0.3,19.33,0.0,100.0,0.0,0.0,99.7,0.3,51.69,7.1,0.02,41.19,0.0,0.0,0.0,0.0,0.0,0.0
DE110450,66.19,0.66,33.15,0.0,0.0,0.0,0.66,66.19,0.0,0.0,0.0,0.0,0.0,0.0,33.15,38.28,0.0,61.72,0.0,100.0,0.0,0.0,100.0,0.0,26.25,6.89,0.66,66.19,0.0,0.0,0.0,0.0,0.0,0.0
DE110460,37.07,0.0,62.93,0.0,0.0,0.0,0.0,37.07,0.0,0.0,0.0,0.0,0.0,0.0,62.93,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110470,59.15,12.7,28.15,0.0,0.0,0.0,12.7,59.13,0.0,0.0,0.0,0.0,0.02,0.0,28.15,30.02,0.01,69.96,0.0,99.98,0.0,0.02,99.99,0.01,4.16,24.02,12.7,59.12,0.0,0.0,0.0,0.0,0.0,0.0
DE110480,32.83,29.8,37.38,0.0,0.0,0.04,29.75,32.51,0.0,0.0,0.0,0.0,0.31,0.0,37.38,40.89,0.04,59.06,0.0,99.69,0.0,0.31,99.96,0.04,25.22,15.72,51.41,7.65,0.0,0.0,0.0,0.0,0.0,0.0
DE110490,69.59,9.42,20.99,0.0,0.0,3.25,3.17,47.14,0.0,9.07,0.0,3.0,13.38,0.0,20.99,76.55,3.27,20.18,0.0,100.0,0.0,0.0,96.73,3.27,6.58,69.19,13.92,10.31,0.0,0.0,0.0,0.0,0.0,0.0
DE110500,65.89,19.6,14.51,0.0,0.0,0.0,0.0,6.97,0.0,26.61,0.0,19.6,32.31,0.0,14.51,64.72,0.0,35.28,0.0,100.0,0.0,0.0,100.0,0.0,0.0,64.72,35.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110510,44.54,0.22,55.24,0.0,0.22,0.0,0.0,42.33,0.0,0.0,0.0,0.0,2.21,0.0,55.24,99.78,0.22,0.0,0.0,97.79,0.0,2.21,99.78,0.22,99.78,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110520,48.35,0.1,51.55,0.0,0.1,0.0,0.0,46.29,0.0,0.0,0.0,0.0,2.05,0.0,51.55,99.9,0.1,0.0,0.0,97.95,0.0,2.05,99.9,0.1,99.61,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110530,61.64,1.11,37.25,0.0,0.0,0.0,0.0,59.82,0.0,1.82,1.11,0.0,0.0,0.0,37.25,98.89,1.11,0.0,0.0,100.0,0.0,0.0,98.89,1.11,38.36,61.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110540,45.83,3.03,51.14,0.0,0.0,0.0,3.03,45.83,0.0,0.0,0.0,0.0,0.0,0.0,51.14,60.93,0.0,39.07,0.0,100.0,0.0,0.0,100.0,0.0,27.52,23.62,3.03,45.83,0.0,0.0,0.0,0.0,0.0,0.0
DE110550,33.53,15.31,51.16,0.0,0.0,0.98,10.98,28.05,0.0,3.81,2.77,0.58,1.67,0.0,51.16,66.18,4.01,29.81,0.0,100.0,0.0,0.0,95.99,4.01,22.06,45.85,13.11,18.99,0.0,0.0,0.0,0.0,0.0,0.0
DE110560,17.55,65.81,16.63,0.0,0.0,0.0,65.81,17.55,0.0,0.0,0.0,0.0,0.0,0.0,16.63,11.58,0.0,88.42,0.0,100.0,0.0,0.0,100.0,0.0,5.42,6.16,76.29,12.13,0.0,0.0,0.0,0.0,0.0,0.0
DE110570,55.6,18.28,26.12,0.0,0.02,0.0,18.26,55.6,0.0,0.0,0.0,0.0,0.0,0.0,26.12,66.1,0.18,33.72,0.0,100.0,0.0,0.0,99.82,0.18,64.97,1.25,28.09,5.7,0.0,0.0,0.0,0.0,0.0,0.0
DE110600,21.3,47.72,30.99,0.0,47.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,30.99,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,67.75,32.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110610,80.06,0.0,19.94,0.0,0.0,0.0,0.0,22.84,51.23,0.0,0.0,0.0,5.99,0.0,19.94,100.0,0.0,0.0,0.0,35.68,51.23,13.09,100.0,0.0,99.96,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110620,10.27,37.44,52.29,0.0,37.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.27,0.0,52.29,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,65.94,34.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110640,9.81,75.12,15.07,0.0,0.0,0.0,0.58,8.15,0.0,0.0,0.0,74.54,1.66,0.0,15.07,8.21,0.0,91.79,0.0,100.0,0.0,0.0,100.0,0.0,0.0,8.21,91.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110650,20.36,79.6,0.04,0.0,0.0,0.0,0.0,20.36,0.0,0.0,0.0,79.6,0.0,0.0,0.04,0.0,0.04,99.96,0.0,100.0,0.0,0.0,99.96,0.04,0.0,0.04,99.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110660,11.32,83.15,5.52,0.0,0.13,2.8,2.63,11.26,0.03,0.0,0.0,77.59,0.03,0.0,5.52,3.08,3.47,93.45,0.0,100.0,0.0,0.0,96.53,3.47,0.0,6.21,93.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110670,25.95,67.78,6.26,0.0,0.0,0.0,0.0,25.35,0.0,0.0,0.0,67.78,0.6,0.0,6.26,0.0,6.86,90.61,2.52,100.0,0.0,0.0,93.14,6.86,0.0,9.39,90.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110680,93.84,2.19,3.97,0.0,0.0,2.19,0.0,7.83,64.88,0.0,0.0,0.0,21.14,0.0,3.97,97.81,2.19,0.0,0.0,10.91,64.88,24.22,97.81,2.19,97.81,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110690,62.8,13.32,23.88,0.0,0.0,0.0,13.32,38.92,17.24,0.0,0.0,0.0,6.64,0.0,23.88,66.9,0.86,32.24,0.0,74.51,17.24,8.25,99.14,0.86,66.65,1.1,21.95,10.3,0.0,0.0,0.0,0.0,0.0,0.0
DE110700,15.01,57.52,27.47,0.0,57.52,0.0,0.0,8.95,0.32,0.0,0.0,0.0,5.75,0.0,27.47,0.0,91.02,0.0,8.98,100.0,0.0,0.0,8.95,91.05,0.0,45.19,54.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110710,27.07,56.34,16.58,0.0,56.34,0.0,0.0,0.06,0.0,0.0,0.0,0.0,27.01,0.0,16.58,0.0,99.71,0.0,0.29,100.0,0.0,0.0,0.0,100.0,0.06,80.44,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110730,11.94,36.01,52.05,0.0,7.7,0.0,10.73,7.63,0.0,0.0,0.0,17.58,4.31,0.0,52.05,0.0,56.92,28.31,14.77,100.0,0.0,0.0,35.18,64.82,0.76,63.25,35.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110750,48.39,38.73,12.89,0.0,0.0,0.0,0.12,16.88,0.0,0.0,0.0,38.61,31.51,0.0,12.89,46.17,0.41,53.42,0.0,100.0,0.0,0.0,99.59,0.41,0.0,46.17,53.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110780,8.27,61.85,29.89,0.0,61.85,0.0,0.0,0.0,0.43,0.0,0.0,0.0,7.84,0.0,29.89,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,39.06,60.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110790,22.48,48.15,29.37,0.0,48.15,0.0,0.0,0.14,0.0,0.0,0.0,0.0,22.35,0.0,29.37,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.14,80.98,18.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110810,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,98.48,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,98.48,1.52,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110820,7.24,58.75,34.01,0.0,58.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24,0.0,34.01,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,66.21,33.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110830,8.09,85.76,6.15,0.0,85.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.09,0.0,6.15,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,93.15,6.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110840,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110860,15.71,29.45,54.85,0.0,29.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.71,0.0,54.85,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,78.2,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110870,0.0,11.79,88.21,0.0,11.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.21,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,88.21,11.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110880,3.99,48.59,47.42,0.0,48.59,0.0,0.0,2.66,0.0,0.0,0.0,0.0,1.34,0.0,47.42,0.0,97.27,0.0,2.73,100.0,0.0,0.0,2.66,97.34,0.0,76.9,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110900,76.79,9.39,13.82,0.0,0.22,3.2,5.98,24.93,36.79,0.35,0.0,0.0,14.73,0.0,13.82,85.04,5.34,9.62,0.0,46.75,36.79,16.46,94.66,5.34,81.32,8.84,8.37,1.46,0.0,0.0,0.0,0.0,0.0,0.0
DE110920,82.18,0.41,17.41,0.0,0.38,0.03,0.0,53.25,4.23,0.0,0.0,0.0,24.71,0.0,17.41,97.02,2.98,0.0,0.0,69.9,4.15,25.95,97.02,2.98,86.42,12.93,0.38,0.0,0.28,0.0,0.0,0.0,0.0,0.0
DE110930,99.54,0.21,0.25,0.0,0.0,0.09,0.0,0.98,0.07,0.0,0.0,0.12,98.48,0.0,0.25,99.68,0.28,0.0,0.03,1.45,12.83,85.72,99.72,0.28,99.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110940,73.14,4.45,22.4,0.0,1.65,2.8,0.0,43.48,29.66,0.0,0.0,0.0,0.0,5.67,16.73,92.99,4.59,2.27,0.14,62.31,29.66,8.03,95.41,4.59,84.2,11.81,3.92,0.0,0.06,0.0,0.0,0.0,0.0,0.0
DE110950,17.77,19.07,63.16,0.0,19.07,0.0,0.0,11.03,0.0,0.0,0.0,0.0,6.75,0.0,63.16,0.0,85.39,0.0,14.61,100.0,0.0,0.0,14.61,85.39,0.0,80.93,19.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110960,74.25,11.58,14.16,0.0,0.0,0.02,0.0,42.63,0.0,21.99,9.21,2.35,9.63,0.0,14.16,83.04,9.23,7.73,0.0,100.0,0.0,0.0,90.77,9.23,18.0,74.28,7.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE110970,40.42,10.1,49.48,0.0,0.0,0.39,5.48,33.51,0.0,4.81,3.49,0.73,2.11,0.0,49.48,69.22,4.22,26.56,0.0,100.0,0.0,0.0,95.78,4.22,27.84,42.72,7.39,22.06,0.0,0.0,0.0,0.0,0.0,0.0
DE110980,66.78,0.0,33.22,0.0,0.0,0.0,0.0,66.78,0.0,0.0,0.0,0.0,0.0,0.0,33.22,63.02,0.0,36.98,0.0,100.0,0.0,0.0,100.0,0.0,32.07,3.75,0.0,64.18,0.0,0.0,0.0,0.0,0.0,0.0
DE110990,55.29,0.0,44.71,0.0,0.0,0.0,0.0,55.29,0.0,0.0,0.0,0.0,0.0,0.0,44.71,94.14,0.0,5.86,0.0,100.0,0.0,0.0,100.0,0.0,53.17,30.53,0.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0
DE111000,17.51,77.38,5.11,0.0,0.0,0.0,0.0,17.51,0.0,0.0,0.0,77.38,0.0,0.0,5.11,10.14,0.72,89.15,0.0,100.0,0.0,0.0,99.28,0.72,0.0,10.14,89.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE111010,28.92,47.88,23.2,0.0,0.0,0.01,0.0,13.48,0.0,0.0,0.0,47.87,15.45,0.0,23.2,27.17,1.09,71.75,0.0,100.0,0.0,0.0,98.91,1.09,0.0,27.17,72.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE111020,9.95,11.36,78.69,0.0,0.0,0.0,11.36,9.95,0.0,0.0,0.0,0.0,0.0,0.0,78.69,79.5,0.0,20.5,0.0,100.0,0.0,0.0,100.0,0.0,1.9,76.79,11.36,9.95,0.0,0.0,0.0,0.0,0.0,0.0
DE111030,54.03,20.43,25.53,0.0,0.03,4.15,11.27,39.84,0.03,5.99,0.0,4.98,8.18,0.0,25.53,62.66,5.1,32.24,0.0,99.72,0.0,0.28,94.9,5.1,12.12,53.15,23.72,11.0,0.0,0.0,0.0,0.0,0.0,0.0
DE111040,64.53,6.25,29.23,0.0,0.0,3.53,0.39,55.34,0.0,6.06,0.14,2.19,3.12,0.0,29.23,73.62,3.67,22.71,0.0,100.0,0.0,0.0,96.33,3.67,26.4,39.33,5.21,29.06,0.0,0.0,0.0,0.0,0.0,0.0
DE111060,73.8,0.0,26.2,0.0,0.0,0.0,0.0,73.8,0.0,0.0,0.0,0.0,0.0,0.0,26.2,32.46,0.0,67.54,0.0,100.0,0.0,0.0,100.0,0.0,26.2,0.0,0.0,73.8,0.0,0.0,0.0,0.0,0.0,0.0
DE111070,34.71,31.55,33.74,0.0,0.0,0.0,31.55,34.71,0.0,0.0,0.0,0.0,0.0,0.0,33.74,45.67,0.0,54.33,0.0,100.0,0.0,0.0,100.0,0.0,15.85,25.37,32.45,26.34,0.0,0.0,0.0,0.0,0.0,0.0
DE111110,91.91,2.96,5.13,0.0,0.0,2.96,0.0,26.01,40.63,0.0,0.0,0.0,25.27,0.0,5.13,96.3,3.7,0.0,0.0,28.75,40.63,30.61,96.3,3.7,90.11,9.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
