gauge_id,q_mean,runoff_ratio,flow_period_start,flow_period_end,flow_perc_complete,slope_fdc,hfd_mean,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq
DE110280,2.06,0.56,1956-11-01,2020-12-31,91.66499999999999,2.2,149.78,0.34,6.24,3.21,1.77,32.35,7.36,0.0
DE110290,0.94,0.29,1956-11-01,2020-12-31,91.66499999999999,2.56,167.21,0.11,2.91,5.0,1.99,44.63,6.51,0.0
DE110300,2.23,0.56,1951-01-01,2020-12-31,100.0,2.04,161.07,0.42,6.64,2.38,1.61,22.74,7.3,0.0
DE110310,2.01,0.54,1951-01-01,2020-12-31,100.0,2.28,147.01,0.37,5.95,3.67,1.92,23.52,6.29,0.0
DE110320,2.82,0.65,1951-01-01,2020-12-31,100.0,2.23,143.38,0.41,8.93,5.58,1.94,36.16,8.46,0.0
DE110330,2.37,0.57,1951-01-01,2020-12-31,94.286,2.39,148.52,0.36,7.54,4.98,2.25,35.25,7.97,0.0
DE110340,3.11,0.63,1971-11-01,2020-12-31,70.24000000000001,2.1,155.0,0.57,8.38,1.94,1.58,22.12,7.98,0.0
DE110350,0.94,0.39,1954-11-01,2020-12-31,94.524,2.14,156.42,0.2,2.9,5.63,1.63,11.43,4.48,0.0
DE110360,0.95,0.38,1951-01-01,2020-12-31,99.855,1.96,158.79,0.22,2.75,4.16,1.62,7.0,6.43,0.0
DE110370,1.12,0.43,1951-01-01,2020-12-31,100.0,1.9,154.75,0.26,3.28,3.99,1.74,8.78,5.61,0.0
DE110380,1.65,0.47,1982-05-01,2020-12-31,55.245,1.96,143.29,0.49,4.77,4.03,3.12,0.05,2.0,0.0
DE110390,0.61,0.3,1951-01-01,2017-11-01,95.479,1.25,186.39,0.22,1.2,0.18,1.2,0.59,1.62,0.0
DE110400,0.94,0.39,1951-01-01,2020-03-09,94.28999999999999,2.1,161.29,0.2,2.64,2.83,1.6,12.72,3.85,0.0
DE110410,1.68,0.65,1951-01-01,2020-12-31,100.0,1.38,179.86,0.54,3.73,0.14,1.67,1.51,4.73,0.0
DE110420,1.1,0.41,1951-01-01,2020-12-31,94.88,2.26,153.98,0.22,3.36,5.45,1.6,22.11,4.51,0.0
DE110430,0.98,0.39,1980-11-01,2020-12-31,57.369,1.74,157.92,0.31,2.62,3.41,1.43,0.08,1.5,0.0
DE110440,1.17,0.41,1951-01-01,2020-12-31,98.827,1.77,152.68,0.29,3.45,5.45,1.53,7.77,4.1,0.0
DE110450,0.56,0.27,1951-01-01,2020-12-31,98.213,1.42,166.79,0.2,1.26,1.33,1.69,0.5,2.75,0.0
DE110460,1.13,0.42,1962-03-15,2020-12-31,83.734,1.93,162.46,0.34,3.23,2.79,3.88,0.12,2.33,0.0
DE110470,0.65,0.3,1966-11-01,2020-12-31,73.283,1.16,177.04,0.28,1.32,0.35,1.21,0.12,2.33,0.0
DE110480,0.82,0.33,1954-12-01,2020-12-31,91.998,1.91,163.26,0.21,2.16,2.26,1.51,6.64,3.07,0.0
DE110490,0.83,0.35,1967-11-01,2020-12-31,75.954,2.23,161.54,0.14,2.6,6.5,1.81,28.67,5.27,0.0
DE110500,1.41,0.47,1951-01-01,2020-12-31,99.984,2.73,151.94,0.16,5.0,9.68,2.07,75.2,8.01,0.0
DE110510,2.15,0.55,1951-01-01,2020-12-31,100.0,1.66,160.67,0.59,5.56,1.07,1.57,3.71,6.74,0.0
DE110520,1.75,0.49,1951-01-01,2020-12-31,100.0,1.61,161.35,0.57,4.37,1.03,1.97,3.71,6.74,0.0
DE110530,1.19,0.44,1951-01-01,2020-12-31,100.0,3.05,142.46,0.13,4.65,16.67,3.42,67.2,6.14,0.0
DE110540,0.87,0.36,1951-01-01,2020-12-31,99.988,2.05,154.23,0.19,2.62,5.03,1.61,13.26,4.22,0.0
DE110550,0.86,0.38,1951-01-01,2020-12-31,99.636,2.71,142.06,0.12,3.1,13.35,2.6,52.67,7.25,0.0
DE110560,0.92,0.42,1951-01-01,2020-12-31,98.142,1.55,166.09,0.33,2.07,1.44,1.4,0.08,1.67,0.0
DE110570,1.01,0.37,1951-01-01,2020-12-31,100.0,2.0,152.68,0.25,2.89,2.81,2.62,10.09,5.7,0.0
DE110600,0.66,0.28,1974-11-01,2020-12-31,65.95400000000001,0.94,171.11,0.32,1.47,1.4,1.34,10.09,5.7,0.0
DE110610,2.04,0.52,1977-11-01,2020-12-31,52.327,2.41,142.52,0.3,6.53,5.82,2.7,38.06,5.04,0.0
DE110620,1.26,0.42,1979-11-01,2020-12-31,58.812,1.29,172.88,0.52,2.96,0.22,1.29,38.06,5.04,0.0
DE110640,0.88,0.35,1981-11-01,2020-12-31,55.945,2.13,168.74,0.18,2.47,0.87,2.75,18.16,5.07,0.0
DE110650,0.24,0.1,1979-06-01,2020-12-31,59.41,2.78,183.71,0.0,0.84,4.51,7.12,64.9,8.87,0.06
DE110660,0.85,0.35,1980-11-01,2020-12-31,57.379999999999995,1.49,179.21,0.31,1.81,0.0,0.0,64.9,8.87,0.0
DE110670,0.08,0.04,1977-10-01,2020-12-31,61.741,4.2,187.81,0.0,0.32,23.58,25.35,113.46,60.99,0.14
DE110680,2.54,0.61,1980-11-01,2020-12-31,57.379999999999995,2.38,144.67,0.4,8.12,5.67,2.7,32.03,8.06,0.0
DE110690,1.45,0.46,1981-11-01,2020-12-31,55.952999999999996,2.14,147.5,0.31,4.31,4.66,2.08,13.87,5.02,0.0
DE110700,1.01,0.42,1982-11-01,2020-12-31,54.525,0.8,177.32,0.56,1.91,0.16,1.2,13.87,5.02,0.0
DE110710,0.99,0.4,1984-11-01,2020-12-31,51.662,0.72,181.74,0.54,2.05,0.77,1.42,13.87,5.02,0.0
DE110730,0.49,0.22,1983-05-01,2020-12-31,53.81700000000001,1.71,159.54,0.13,1.35,3.22,1.49,7.38,5.46,0.0
DE110750,1.16,0.45,1983-11-01,2020-12-31,53.098,2.27,160.81,0.2,3.53,3.06,2.12,28.14,6.49,0.0
DE110780,1.1,0.45,1986-11-01,2020-12-31,48.811,0.72,178.06,0.63,2.03,0.12,1.0,28.14,6.49,0.0
DE110790,1.21,0.47,1986-11-01,2020-12-31,48.795,0.65,174.7,0.7,2.51,1.03,1.31,28.14,6.49,0.0
DE110810,3.03,0.68,1985-11-01,2020-12-31,50.239,2.4,141.35,0.43,9.31,6.35,2.96,34.38,11.35,0.0
DE110820,0.92,0.34,1988-11-01,2020-12-31,45.952,0.98,168.48,0.36,2.59,5.26,1.35,34.38,11.35,0.0
DE110830,1.75,0.59,1989-11-01,2020-12-31,44.513000000000005,0.66,178.43,1.02,3.28,0.7,1.05,34.38,11.35,0.0
DE110840,1.36,0.47,1994-11-01,2020-12-31,37.383,1.57,161.12,0.39,4.38,8.48,1.41,0.44,2.2,0.0
DE110860,0.69,0.28,1992-01-01,2020-12-31,41.431000000000004,1.68,154.79,0.18,1.77,0.75,1.62,8.86,5.39,0.0
DE110870,3.11,0.63,1988-01-01,2020-12-31,47.144999999999996,2.0,173.12,0.64,9.42,3.47,1.73,16.78,5.97,0.0
DE110880,0.88,0.37,1998-11-01,2020-12-31,31.438,0.94,171.86,0.53,1.61,0.0,0.0,16.78,5.97,0.0
DE110900,1.64,0.46,1990-11-01,2020-12-31,43.097,2.98,140.45,0.12,5.42,7.41,2.83,66.72,9.63,0.0
DE110920,2.81,0.64,1951-01-01,2020-12-31,100.0,1.9,150.74,0.65,8.02,3.13,1.62,10.59,4.81,0.0
DE110930,1.02,0.38,1968-01-01,1999-10-31,45.475,1.77,165.9,0.26,2.63,2.52,1.9,8.52,5.18,0.0
DE110940,0.92,0.33,1969-11-01,2020-12-31,73.095,1.84,162.24,0.26,2.43,2.06,1.63,2.02,3.26,0.0
DE110950,2.72,0.6,1980-11-01,2020-12-31,57.379999999999995,2.33,173.56,0.69,8.36,4.13,1.46,2.54,4.5,0.0
DE110960,0.92,0.4,1951-01-01,2020-12-31,99.992,3.07,139.64,0.08,3.55,17.83,2.78,86.0,5.8,0.0
DE110970,0.9,0.4,1956-11-01,2020-12-31,91.66499999999999,2.71,140.54,0.12,3.39,16.06,2.73,59.19,5.75,0.0
DE110980,0.76,0.31,1959-11-01,2020-12-31,87.37899999999999,1.74,170.13,0.2,1.84,2.65,1.34,6.05,3.27,0.0
DE110990,0.7,0.3,1982-11-01,2020-12-31,54.521,2.1,173.97,0.2,1.76,2.78,1.43,0.24,3.0,0.0
DE111000,1.66,0.57,1956-11-01,2020-12-31,91.66499999999999,1.67,174.89,0.48,4.19,0.43,1.93,2.38,5.36,0.0
DE111010,1.51,0.54,1953-11-01,2020-12-31,95.952,2.5,161.26,0.25,4.51,2.79,2.39,32.17,8.29,0.0
DE111020,0.88,0.37,1951-01-01,2020-12-31,99.668,3.05,141.94,0.08,3.25,17.44,2.12,89.35,9.32,0.0
DE111030,1.03,0.42,1971-11-01,2020-12-31,70.24000000000001,1.87,161.15,0.27,2.68,1.42,1.51,2.52,3.56,0.0
DE111040,1.05,0.41,1977-11-01,2020-12-31,61.655,1.74,158.36,0.29,2.93,3.57,1.47,1.1,2.56,0.0
DE111060,0.81,0.36,1952-11-01,2020-12-31,97.34,1.72,149.7,0.18,2.45,10.18,1.79,12.94,5.82,0.0
DE111070,0.68,0.33,1952-11-01,2020-12-31,97.2,1.43,184.5,0.26,1.46,0.86,1.42,0.14,1.8,0.0
DE111110,1.42,0.34,1991-06-06,2020-12-31,42.248000000000005,3.43,136.79,0.16,5.71,26.69,3.65,115.27,7.53,0.0
DE111120,2.84,0.6,1953-12-01,2020-12-31,95.83500000000001,1.92,149.74,0.57,8.23,4.45,1.84,18.11,9.05,0.0
DE111130,0.56,0.25,1976-05-01,2020-12-31,63.81400000000001,1.15,173.36,0.24,1.13,0.45,1.18,18.11,9.05,0.0
DE111140,2.67,0.62,1978-11-01,2020-12-31,60.23500000000001,2.06,171.95,0.68,7.65,2.44,1.39,5.61,5.75,0.0
DE111150,3.77,1.7,1979-06-01,2020-12-31,59.41,1.09,177.9,1.61,6.74,0.0,0.0,5.61,5.75,0.0
DE111160,1.24,0.44,1981-06-01,2020-12-31,56.550999999999995,1.45,167.79,0.41,3.25,1.08,1.35,0.1,2.0,0.0
DE111170,1.6,0.5,1981-08-01,2020-12-31,56.313,1.5,169.69,0.6,4.09,0.46,1.38,0.1,2.0,0.0
DE111180,1.04,0.38,1981-11-01,2020-12-31,55.593,1.58,167.72,0.35,2.66,1.0,1.24,0.14,1.67,0.0
DE111190,2.38,0.62,1978-11-01,2020-12-31,59.88,2.28,153.18,0.42,7.06,2.74,1.73,26.15,6.18,0.0
DE111210,1.05,0.38,1982-11-01,2020-12-31,54.525,1.35,171.03,0.37,2.64,0.62,1.28,0.16,3.0,0.0
DE111220,1.26,0.46,1982-04-01,2020-12-31,55.362,2.04,159.13,0.26,3.82,5.39,1.61,15.18,4.65,0.0
DE111230,2.97,0.62,1982-11-01,2020-12-31,54.525,1.95,176.08,0.81,8.87,4.76,1.36,2.35,4.14,0.0
DE111240,2.83,0.57,1983-01-01,2020-12-31,54.287,2.61,178.49,0.36,9.58,8.81,1.62,47.51,8.03,0.0
DE111250,0.57,0.27,1979-11-01,2019-08-24,56.876000000000005,1.23,170.87,0.24,1.19,0.74,1.4,0.03,1.0,0.0
DE111260,1.59,0.41,1981-11-01,2020-12-31,55.952999999999996,2.73,145.16,0.19,4.92,4.74,2.57,55.34,7.59,0.0
DE111270,1.23,0.45,1980-11-01,2020-12-31,57.376000000000005,2.31,167.21,0.26,3.51,2.67,1.82,14.03,5.82,0.0
DE111280,1.05,0.38,1969-12-01,2020-12-31,72.978,2.16,149.76,0.24,3.07,3.88,2.98,4.64,4.83,0.0
DE111290,1.32,0.46,1976-10-01,2020-12-31,63.21600000000001,2.75,147.55,0.2,4.14,7.5,1.71,46.2,6.09,0.0
DE111300,1.22,0.44,1979-06-01,2020-12-31,59.402,2.0,143.51,0.28,4.06,9.93,1.89,10.46,5.8,0.0
DE111310,1.0,0.39,1980-01-01,2020-12-31,58.573,2.79,143.02,0.12,3.39,9.88,2.11,55.8,9.54,0.0
DE111320,1.2,0.42,1951-01-01,1993-10-31,61.19,1.99,154.95,0.32,3.35,2.83,2.64,1.19,2.0,0.0
DE111330,1.69,0.43,1968-11-14,2020-12-31,74.47200000000001,2.06,149.71,0.36,5.17,4.0,3.29,11.33,5.12,0.0
DE111340,1.9,0.5,1973-11-01,2020-12-31,67.381,1.66,158.72,0.53,4.56,0.96,1.29,3.13,8.0,0.0
DE111350,2.34,0.6,1973-11-01,2020-12-31,67.342,1.82,157.91,0.57,6.17,2.8,1.37,9.2,14.59,0.0
DE111360,0.44,0.21,1963-09-01,2020-12-31,81.551,1.94,171.98,0.09,1.24,5.2,1.63,6.59,5.27,0.0
DE111370,0.79,0.33,1973-11-01,2020-12-31,62.968999999999994,2.05,150.12,0.15,2.42,8.58,1.83,21.76,5.44,0.0
DE111380,0.59,0.28,1979-03-01,2020-12-31,59.77,1.77,171.17,0.17,1.58,3.78,1.55,0.39,4.0,0.0
DE111390,1.1,0.47,1980-03-01,2020-12-31,58.331,2.64,167.42,0.17,3.23,4.0,1.72,41.75,6.3,0.0
DE111400,1.33,0.4,1979-11-01,2020-12-31,58.80800000000001,1.81,156.05,0.42,3.49,1.32,2.41,0.02,1.0,0.0
DE111410,3.2,0.7,1983-11-01,2020-12-31,53.098,1.96,144.42,0.79,9.47,4.56,1.59,4.67,6.0,0.0
DE111420,3.81,0.74,1983-11-01,2020-12-31,53.098,2.23,140.92,0.7,12.35,8.14,1.71,26.36,8.55,0.0
DE111430,3.07,0.65,1983-01-01,2020-12-31,54.287,2.39,147.08,0.51,9.29,3.49,1.84,28.86,7.37,0.0
DE111440,3.85,0.77,1986-11-01,2020-12-31,48.811,2.02,142.42,0.89,11.98,8.24,1.55,9.48,8.03,0.0
DE111450,0.92,0.37,1984-11-01,2020-12-31,51.666000000000004,1.49,169.54,0.3,2.26,0.43,1.5,0.91,2.46,0.0
DE111460,0.95,0.36,1984-11-01,2020-12-31,51.662,1.36,165.54,0.36,2.28,0.89,1.48,0.91,2.46,0.0
DE111470,1.39,0.51,1986-11-01,2020-12-31,48.811,1.67,157.24,0.44,4.13,4.21,1.42,0.91,2.46,0.0
DE111480,1.46,0.44,1984-11-01,2020-12-31,51.666000000000004,1.92,149.34,0.33,4.35,3.06,2.06,12.83,7.48,0.0
DE111490,2.71,0.59,1981-11-01,2020-12-31,55.952999999999996,2.33,143.29,0.48,8.58,6.39,2.01,28.08,7.02,0.0
DE111500,2.65,0.57,1985-11-01,2020-12-31,50.239,2.04,145.76,0.59,7.64,1.85,1.91,12.09,5.87,0.0
DE111510,1.83,0.53,1986-11-01,2020-12-31,48.811,2.34,138.61,0.38,5.74,6.09,2.18,12.24,4.81,0.0
DE111550,0.76,0.33,1980-03-01,2020-12-31,58.339,1.5,169.3,0.28,1.68,1.22,1.48,12.24,4.81,0.0
DE111560,1.02,0.39,1979-11-01,2020-12-31,58.812,1.6,156.18,0.34,2.53,1.22,2.04,12.24,4.81,0.0
DE111570,0.88,0.38,1983-11-01,2020-12-31,53.098,2.41,139.28,0.15,3.0,9.31,2.5,32.47,4.53,0.0
DE111580,0.42,0.21,1979-11-01,2020-12-31,58.812,1.23,184.52,0.18,0.89,0.85,1.42,32.47,4.53,0.0
DE111590,0.89,0.33,1981-06-01,2020-12-31,56.550999999999995,2.29,149.67,0.17,2.68,3.67,2.7,18.82,6.99,0.0
DE111600,1.02,0.41,1979-11-01,2020-12-31,58.804,2.1,147.12,0.21,3.14,5.85,1.93,16.05,4.65,0.0
DE111610,0.86,0.38,1978-11-01,2020-12-31,60.239,2.1,149.95,0.2,2.45,3.9,2.22,8.1,3.53,0.0
DE111620,1.05,0.4,1977-11-01,2020-12-31,61.431999999999995,2.93,160.78,0.05,3.63,7.93,1.82,74.95,7.96,0.0
DE111630,1.08,0.42,1980-11-01,2020-12-31,57.376000000000005,2.52,144.28,0.2,3.54,7.69,2.07,26.61,5.06,0.0
DE111640,0.92,0.37,1981-05-01,2020-12-31,56.672,2.85,160.08,0.11,2.99,6.26,1.79,59.38,6.03,0.0
DE111650,1.45,0.44,1980-11-01,2020-12-31,57.379999999999995,2.47,139.1,0.21,4.61,8.15,2.05,44.77,6.87,0.0
DE111660,1.06,0.34,1982-01-01,2020-12-31,55.714,2.67,142.21,0.15,3.66,9.87,3.99,56.45,11.53,0.0
DE111670,0.92,0.46,1982-07-01,2020-12-31,55.006,1.51,176.21,0.36,2.33,1.84,1.27,56.45,11.53,0.0
DE111680,0.83,0.36,1982-11-01,2020-12-31,54.513,1.67,161.35,0.26,2.15,2.57,1.46,0.03,1.0,0.0
DE111690,1.78,0.73,1983-04-01,2020-12-31,53.935,1.72,179.05,0.57,4.06,0.24,1.8,0.41,3.0,0.0
DE111700,0.72,0.3,1980-11-01,2020-12-31,57.379999999999995,1.89,156.87,0.23,1.7,2.59,1.49,1.0,3.25,0.0
DE111710,1.06,0.41,1980-11-01,2020-12-31,57.048,2.45,139.54,0.18,3.55,10.05,2.5,29.7,8.59,0.0
DE111720,1.03,0.39,1983-11-01,2020-12-31,53.035,1.78,155.67,0.31,2.69,1.28,2.19,29.7,8.59,0.0
DE111730,1.18,0.44,1984-11-01,2020-12-31,51.662,2.13,156.23,0.24,3.51,3.69,1.87,14.86,5.1,0.0
DE111740,1.1,0.42,1983-11-01,2020-12-31,53.093999999999994,2.42,144.83,0.22,3.69,8.67,2.46,19.5,4.01,0.0
DE111770,0.96,0.44,1986-11-01,2020-12-31,45.189,4.38,127.0,0.02,4.2,43.64,3.33,180.07,15.47,0.0
DE111780,0.94,0.39,1988-11-01,2020-12-31,45.952,2.72,155.55,0.1,3.06,3.61,2.04,61.32,8.16,0.0
DE111790,1.48,0.36,1987-11-01,2020-12-31,47.382999999999996,2.48,171.12,0.15,4.96,4.31,2.09,51.38,6.2,0.0
DE111810,2.63,0.55,1996-05-01,2020-12-31,35.235,2.6,175.92,0.35,8.62,6.62,1.89,45.96,6.81,0.0
DE111820,0.61,0.3,1988-11-01,2020-12-31,45.952,1.52,172.06,0.23,1.36,0.9,1.27,45.96,6.81,0.0
DE111830,0.54,0.22,1992-11-01,2020-12-31,40.238,1.99,177.33,0.17,1.31,0.0,0.0,0.04,1.0,0.0
DE111840,0.9,0.37,1989-11-01,2018-08-13,41.118,2.02,165.81,0.19,2.65,3.04,1.49,11.7,3.95,0.0
DE111850,2.89,0.66,1989-11-01,2020-12-31,44.524,2.23,141.03,0.45,8.82,4.03,1.95,28.63,10.11,0.0
DE111860,1.96,0.44,1991-11-01,2020-12-31,41.638,2.05,146.82,0.33,5.64,2.0,1.93,26.96,6.45,0.0
DE111870,1.77,0.49,1990-03-24,2020-12-31,43.964999999999996,1.95,144.67,0.34,5.06,3.2,1.68,19.93,6.87,0.0
DE111880,1.17,0.38,1990-11-01,2020-12-31,43.097,2.21,154.03,0.25,3.44,2.72,1.65,14.1,5.84,0.0
DE111890,0.5,0.26,1991-04-01,2020-12-31,42.495,2.1,158.07,0.14,1.3,2.65,1.97,2.72,3.43,0.0
DE111900,1.73,0.64,1991-08-01,2020-12-31,42.028999999999996,1.62,171.21,0.51,4.28,0.21,2.0,0.41,3.0,0.0
DE111910,0.91,0.38,1991-11-01,2020-12-31,41.669,2.57,156.18,0.14,2.97,6.25,1.56,45.29,5.24,0.0
DE111920,1.05,0.4,1991-11-01,2020-12-31,41.669,1.7,153.79,0.34,2.68,1.32,1.95,45.29,5.24,0.0
DE111940,1.18,0.45,1993-11-01,2020-12-31,38.798,2.52,144.85,0.2,4.12,7.73,2.39,34.88,5.46,0.0
DE111960,2.04,0.54,1991-11-01,2020-12-31,41.669,2.46,140.14,0.36,6.19,4.25,2.12,29.43,6.06,0.0
DE111980,0.37,0.15,1994-04-01,2020-12-31,38.22,1.81,181.15,0.11,0.92,0.0,0.0,3.62,5.88,0.0
DE111990,0.62,0.28,1994-02-01,2020-12-31,38.446000000000005,1.45,164.62,0.24,1.43,0.27,1.4,0.31,2.67,0.0
DE112010,0.59,0.27,1994-11-01,2020-12-31,37.383,1.35,161.76,0.21,1.45,2.28,1.42,0.16,1.0,0.0
DE112020,0.63,0.33,1994-07-01,2020-12-31,37.864,1.0,185.81,0.33,1.2,0.31,1.14,0.16,1.0,0.0
DE112030,0.87,0.37,1999-05-24,2020-12-31,30.726,1.54,155.3,0.28,2.14,0.55,1.38,0.05,1.0,0.0
DE112040,1.12,0.41,1995-11-01,2020-12-31,35.955,2.81,140.46,0.16,3.92,12.62,1.92,53.67,6.96,0.0
DE112050,1.65,0.5,1993-07-01,2020-12-31,39.291,2.14,145.93,0.36,4.75,1.7,1.48,7.52,4.14,0.0
DE112060,0.38,0.17,1990-02-01,2020-12-31,44.165,1.6,167.17,0.13,0.88,0.23,1.17,7.52,4.14,0.0
DE112070,0.68,0.28,1959-07-01,2020-12-31,87.864,1.67,169.77,0.22,1.63,1.33,1.59,0.87,2.94,0.0
DE112100,0.91,0.38,1997-11-01,2020-12-31,33.096,2.36,139.68,0.17,2.73,8.64,1.94,30.23,4.03,0.0
DE112110,0.87,0.38,1998-01-01,2020-12-31,32.854,3.23,132.32,0.07,3.47,20.27,2.9,98.77,7.32,0.0
DE112120,0.98,0.41,1998-11-01,2020-12-31,31.657000000000004,2.14,138.9,0.19,3.57,12.0,1.94,20.52,3.95,0.0
DE112130,0.86,0.31,1999-11-01,2009-11-01,14.291,1.86,161.11,0.28,2.33,3.56,2.67,20.52,3.95,0.0
DE112140,1.23,0.47,2001-11-01,2020-12-31,27.382,1.94,159.17,0.33,3.24,0.67,1.33,1.17,3.0,0.0
DE112160,1.76,0.54,2001-05-01,2020-12-14,28.035,1.78,150.68,0.57,4.54,0.79,1.67,1.17,3.0,0.0
DE112180,0.89,0.36,1999-11-01,2020-12-31,30.232999999999997,3.14,154.8,0.07,3.06,7.7,1.9,84.15,6.84,0.0
DE112200,1.66,0.5,2001-08-01,2020-12-31,27.742,1.97,149.37,0.42,4.49,1.05,1.82,5.84,6.17,0.0
DE112220,0.76,0.34,2002-10-01,2020-12-31,26.076,1.87,144.94,0.18,2.35,6.0,1.48,8.89,4.57,0.0
DE112260,1.98,0.55,2001-06-19,2020-12-31,27.91,1.84,149.11,0.6,5.12,1.53,1.53,8.89,4.57,0.0
DE112280,1.08,0.41,2002-09-01,2020-12-31,26.189,3.06,132.67,0.12,4.37,20.67,2.6,87.94,6.38,0.0
DE112310,0.87,0.38,2005-01-27,2020-12-31,22.750999999999998,1.64,171.27,0.32,1.98,0.2,3.0,87.94,6.38,0.0
DE112320,0.82,0.38,2003-01-01,2020-12-31,25.7,3.16,134.59,0.06,3.18,22.06,2.68,102.75,8.65,0.0
DE112330,1.59,0.46,2002-10-01,2020-12-31,26.076,2.74,138.06,0.23,4.85,5.06,2.17,46.22,7.11,0.0
DE112350,1.34,0.49,2002-04-01,2020-12-31,26.790999999999997,2.32,152.11,0.27,3.89,2.56,1.92,15.83,5.59,0.0
DE112360,0.26,0.14,2002-12-16,2020-12-31,25.778000000000002,1.7,176.65,0.08,0.55,0.35,1.5,8.35,4.3,0.0
DE112370,0.59,0.29,2002-11-01,2020-12-31,25.954,1.11,171.47,0.29,1.12,0.18,3.0,8.35,4.3,0.0
DE112380,0.48,0.24,2002-11-01,2020-12-31,25.954,0.91,170.71,0.26,0.85,0.12,2.0,8.35,4.3,0.0
DE112390,0.92,0.35,2005-05-01,2020-12-31,22.387,1.76,153.8,0.23,2.67,5.47,1.46,2.13,2.91,0.0
DE112400,0.62,0.27,2008-03-01,2020-12-31,18.339,1.06,185.58,0.33,1.03,0.0,0.0,2.13,2.91,0.0
DE112410,1.69,0.51,2003-11-01,2020-12-31,24.526999999999997,2.32,144.44,0.35,5.13,3.56,1.97,15.31,4.02,0.0
DE112420,2.48,0.65,2008-12-01,2020-12-31,17.264,2.37,140.55,0.3,7.67,2.64,1.81,53.54,9.5,0.0
DE112450,1.41,0.51,2006-11-01,2020-12-31,20.24,0.75,171.77,0.83,3.14,0.38,1.0,53.54,9.5,0.0
DE112480,0.56,0.28,2010-09-01,2020-12-31,14.765,1.63,158.2,0.25,1.39,1.1,1.38,53.54,9.5,0.0
DE112490,1.19,0.48,2006-11-01,2020-12-31,20.24,1.0,178.31,0.62,2.19,0.0,0.0,53.54,9.5,0.0
